,TRAVELER_ID,GENDER,AGE_GRP,INCOME,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,CLUSTER
0,b011774,여,30,4,4,2,2,4,3,3,2,6,1
1,d009928,여,20,2,6,1,2,3,1,6,1,7,1
2,d010131,남,20,3,6,2,1,6,5,6,2,7,1
3,d006004,여,20,4,5,7,6,2,2,5,3,6,3
4,d002965,여,30,1,1,7,1,1,7,7,1,4,1
5,c003062,여,50,11,4,4,3,5,3,5,2,6,2
6,d012350,남,30,3,2,1,5,3,2,3,3,3,2
7,a017861,남,60,5,1,2,6,7,2,6,7,7,2
8,d001580,남,30,8,4,3,2,5,6,6,1,7,2
9,d007452,남,30,4,4,4,3,4,3,3,4,4,3
10,d010185,여,30,2,3,5,4,6,6,5,5,3,3
11,d012330,여,20,4,4,4,1,3,2,4,7,6,0
12,d004712,남,40,5,7,1,5,1,1,7,7,3,3
13,d002779,여,20,4,5,2,1,3,3,6,6,6,1
14,d005816,남,20,1,4,1,2,4,3,6,6,2,0
15,d002681,남,20,4,2,2,3,2,2,3,3,2,2
16,d009039,여,20,4,4,3,2,4,6,2,2,6,1
17,d009103,남,20,4,3,1,1,4,3,2,3,3,0
18,a005794,남,30,1,7,1,2,6,7,4,2,1,3
19,c002960,남,30,4,1,1,4,2,6,4,4,5,2
20,d000179,여,30,5,2,2,3,3,3,3,4,6,1
21,d003233,남,40,6,2,3,1,4,6,5,6,6,2
22,a002828,여,30,5,1,1,1,1,1,1,7,7,0
23,d006689,여,40,7,2,2,2,2,2,6,5,5,2
24,b006115,남,30,4,5,2,1,3,4,6,3,5,1
25,d012283,여,50,2,1,4,4,4,2,2,6,4,0
26,d006170,여,20,4,4,4,4,4,4,4,4,4,3
27,d001614,여,20,4,4,4,2,3,7,4,6,4,3
28,d005001,여,30,4,2,3,2,4,3,2,6,5,0
29,d000501,남,50,5,2,2,1,4,5,2,6,7,2
30,d000173,남,40,8,6,1,2,3,6,6,2,6,2
31,d001211,남,20,5,4,2,2,3,5,4,5,5,1
32,d009193,여,40,4,2,3,1,4,3,4,2,5,1
33,a001986,남,30,4,7,4,1,5,6,3,2,7,1
34,d001727,여,20,4,6,2,1,1,7,1,1,7,1
35,c003960,남,60,4,1,4,1,2,6,2,5,5,2
36,d006926,남,20,2,1,1,4,4,4,1,3,5,0
37,d010671,여,30,6,3,4,2,3,5,6,2,5,1
38,d012416,여,30,4,2,2,4,2,2,6,3,3,1
39,d012374,남,30,5,4,2,4,4,6,4,2,4,3
40,d002756,여,30,4,1,1,4,2,4,4,4,7,1
41,d012261,남,20,5,2,2,2,2,4,2,5,7,0
42,d006908,여,20,3,4,1,1,5,7,1,1,7,1
43,b004383,남,20,4,1,1,1,3,3,6,2,3,1
44,d011264,여,30,5,4,2,3,3,4,5,6,5,3
45,d012252,여,30,3,2,2,2,4,1,2,6,6,0
46,d004432,남,30,6,2,1,1,2,6,2,6,6,0
47,c000356,여,30,5,2,4,2,4,7,5,6,6,3
48,d007825,남,20,2,3,1,1,6,7,2,5,7,0
49,d002262,여,30,5,1,1,4,5,1,4,1,7,1
50,d009833,여,20,4,1,1,1,5,5,4,5,4,0
51,d012470,남,50,3,5,3,3,2,3,4,3,4,2
52,c003248,여,30,5,3,6,2,2,1,3,1,5,2
53,d003671,여,20,1,3,3,3,3,2,2,6,2,0
54,c004805,남,40,5,1,7,6,2,1,4,2,2,2
55,a002994,여,30,9,2,1,1,1,4,2,1,7,2
56,c004502,남,40,7,1,1,7,4,6,6,2,3,2
57,d002298,여,40,1,2,4,6,4,5,3,2,4,3
58,d007698,남,40,6,5,2,3,6,6,4,4,4,3
59,d007143,여,50,6,4,1,1,2,5,2,2,5,2
60,d008208,여,40,4,6,2,7,5,5,6,6,1,3
61,b001039,여,20,6,4,3,2,1,4,6,6,6,1
62,d000866,남,20,2,6,2,2,1,4,4,4,7,1
63,d000381,여,50,8,2,2,4,4,2,2,5,3,2
64,d001443,남,30,4,4,2,2,6,5,3,3,7,1
65,d009779,여,20,4,2,2,1,2,6,1,2,2,0
66,d006274,남,40,4,4,2,4,5,3,3,5,6,2
67,d006021,남,20,2,2,2,2,4,3,2,6,3,0
68,d007799,여,30,5,3,3,4,3,4,5,2,6,1
69,d003141,남,40,4,1,1,1,1,1,1,1,1,2
70,d001794,남,30,5,4,7,5,4,2,3,7,2,3
71,d003043,남,30,4,2,1,4,4,3,4,6,4,0
72,d010617,여,20,5,1,1,2,3,1,3,1,7,1
73,d000025,남,20,1,6,1,2,3,5,6,3,6,1
74,d002288,여,30,2,2,2,3,2,2,4,3,4,1
75,d001048,남,30,6,1,4,2,7,2,1,5,1,0
76,d004754,여,40,1,3,3,3,3,4,4,2,6,1
77,a000652,여,30,8,2,2,2,5,6,6,2,2,2
78,d000494,남,60,4,2,2,3,1,2,4,6,3,2
79,b006874,여,40,4,1,5,3,6,7,2,1,7,3
80,d000054,남,40,6,2,2,2,1,2,6,1,2,2
81,c002821,여,30,4,2,2,4,2,3,3,6,6,0
82,d000393,남,20,3,2,1,2,1,2,2,7,4,0
83,c002171,여,30,6,1,1,5,1,4,7,6,6,1
84,d001982,여,50,1,2,2,2,2,6,6,2,6,1
85,d002351,남,20,4,3,2,1,6,3,3,3,2,0
86,d003916,남,30,4,2,2,4,4,4,5,6,5,3
87,d006869,여,30,4,3,2,5,2,2,6,5,4,3
88,d003040,여,40,3,1,2,6,1,1,4,3,1,2
89,d009147,여,20,2,2,5,1,1,1,3,4,3,0
90,a001362,여,30,4,3,2,3,3,4,4,6,4,0
91,d002983,여,20,4,2,1,1,3,2,5,3,7,1
92,d001676,여,30,1,2,3,2,5,2,2,3,3,0
93,d004046,여,20,1,2,1,5,5,6,3,7,6,0
94,d002015,여,20,4,2,2,1,3,6,6,1,6,1
95,d002408,여,30,4,6,1,4,3,2,3,3,5,1
96,d006351,여,40,9,4,4,2,1,2,2,3,3,2
97,d003833,남,40,6,2,1,2,2,1,5,1,5,2
98,d005862,남,30,5,1,1,2,7,7,7,2,7,1
99,a002405,남,30,3,2,6,1,4,1,4,7,7,0
100,d004605,여,20,3,4,1,1,3,4,3,7,1,0
101,b000453,여,30,1,2,2,2,2,4,3,4,6,1
102,d003628,여,20,2,1,1,7,7,7,4,7,7,3
103,d000141,여,20,3,6,1,1,2,4,5,2,5,1
104,a008632,여,50,4,2,2,2,4,5,4,6,6,0
105,d002464,여,30,5,7,1,1,4,7,4,5,6,1
106,d002928,여,30,5,1,1,1,4,7,1,7,4,0
107,d002819,여,30,4,1,4,4,7,3,3,7,3,0
108,d006690,여,30,5,4,3,3,4,5,2,6,6,0
109,d002327,여,20,4,6,4,2,1,2,4,7,7,1
110,d000902,남,40,9,4,7,3,3,3,5,5,6,2
111,d004040,남,20,2,5,2,2,6,6,5,6,2,3
112,d001319,여,30,7,2,4,6,1,4,6,3,6,3
113,d005424,여,20,3,6,2,4,2,2,3,5,2,3
114,d000074,남,40,12,3,4,2,4,3,3,5,3,2
115,d002185,여,40,3,1,1,1,5,1,2,4,4,0
116,d003917,여,20,4,4,2,3,5,4,3,5,4,0
117,d000895,여,20,5,3,1,1,1,2,6,6,6,1
118,a000859,여,30,4,3,1,1,4,4,4,1,7,1
119,d000284,남,40,8,1,1,1,1,7,1,1,7,2
120,d010272,여,20,4,4,2,4,2,4,3,6,5,1
121,d001644,여,30,2,1,2,7,1,1,7,1,7,1
122,d000868,남,20,2,4,3,2,4,4,4,5,3,3
123,d007431,남,20,4,7,1,1,4,1,7,4,4,1
124,d004352,남,30,6,1,6,5,5,2,4,7,7,3
125,d000441,남,20,4,2,1,1,2,3,2,5,6,0
126,c002517,여,20,5,1,1,4,4,4,1,1,7,1
127,d002451,남,40,12,3,1,6,1,2,6,2,5,2
128,a004773,남,20,4,3,1,4,3,4,2,5,6,0
129,d002853,남,30,4,1,1,1,4,7,1,2,7,0
130,d002772,여,30,1,4,4,4,4,5,4,6,7,3
131,a002216,여,20,4,1,1,1,4,2,3,6,7,0
132,d003065,여,50,4,6,2,2,6,6,3,2,6,3
133,d003751,여,40,4,5,3,2,2,5,3,5,5,3
134,d002985,여,30,3,2,1,2,3,5,2,1,7,1
135,d005497,남,20,4,4,5,1,6,4,5,7,5,3
136,d003656,남,30,4,7,6,4,4,1,7,6,7,3
137,d004703,여,20,4,2,2,2,2,6,2,2,3,0
138,d003990,여,30,3,1,7,1,1,7,1,1,7,1
139,d004299,여,30,2,1,1,4,3,4,2,5,4,0
140,d002976,여,40,4,1,4,1,4,5,4,5,1,0
141,d003839,여,40,5,4,2,2,2,6,2,2,1,2
142,d003136,여,20,4,3,3,3,2,2,4,5,6,1
143,d006378,남,20,5,3,1,4,2,2,4,4,3,2
144,d002841,여,30,4,2,1,2,4,1,3,5,5,0
145,d006976,여,20,4,4,2,3,2,3,4,4,6,1
146,d007015,남,20,1,6,2,6,5,2,6,7,2,3
147,d001944,여,30,4,5,1,1,1,6,6,6,7,1
148,d003360,남,40,4,1,1,2,5,4,2,7,6,0
149,b005963,여,30,2,6,1,4,2,4,6,6,4,3
150,d003038,여,30,4,1,7,1,4,7,4,4,7,3
151,d007728,남,40,7,2,2,2,2,2,3,2,2,2
152,a000651,남,60,6,2,6,2,2,1,2,2,4,2
153,d001624,남,40,7,3,1,5,2,2,6,1,3,2
154,d005151,여,30,4,2,2,2,1,6,4,5,4,1
155,d009137,여,40,6,5,4,2,2,4,3,4,4,3
156,d006363,남,50,1,4,3,2,4,3,2,2,7,2
157,d003649,남,30,12,1,1,1,3,2,3,4,5,2
158,d001599,남,30,9,2,2,2,3,3,3,3,3,2
159,c002263,여,30,1,2,1,1,5,2,7,1,7,1
160,d012293,여,20,4,4,1,1,2,4,4,4,6,1
